bill_id,session,name,organization,designated_env_impact,outcome,link,researcher (internal)
HB 1106,2016,Clean Energy Jobs Act,"League of Conservation Voters, Sierra Club",positive,"passed, vetoed by governor, veto overridden by state lege",http://mgaleg.maryland.gov/webmga/frmMain.aspx?id=HB1106&stab=01&pid=billpage&tab=subject3&ys=2016rs,Vrushank
HB 1013,2016,Maryland Open Transportation Investment Decision Act of 2016,League of Conservation Voters,positive,"passed, vetoed by governor, veto overridden by state lege",http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=billpage&stab=01&id=HB1013&tab=subject3&ys=2016rs,Vrushank
SB 938,2015,Wind Energy Restrictions,Sierra Club,negative,died in committee,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=billpage&stab=01&id=sb0938&tab=subject3&ys=2015rs,Vrushank
SB 899,2015,Wind Energy Restrictions,Sierra Club,negative,died in committee,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=billpage&stab=01&id=SB0899&tab=subject3&ys=2015rs,Vrushank
SB 867,2015,Artificial Turf,Sierra Club,negative,died in committee,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=billpage&stab=01&id=SB0867&tab=subject3&ys=2015rs,Vrushank
SB 863,2015,Stormwater Remediation,"League of Conservation Voters, Sierra Club",positive,passed (with or without amendments) and signed by governor,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=billpage&stab=01&id=SB0863&tab=subject3&ys=2015rs,Vrushank
SB 589,2015,Motor Fuel Tax Rate,Sierra Club,negative,died in committee,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=billpage&stab=01&id=SB0589&tab=subject3&ys=2015rs,Vrushank
SB 481,2015,Community Solar Energy,Sierra Club,positive,died in committee,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=billpage&stab=01&id=sb0481&tab=subject3&ys=2015rs,Vrushank
SB 458,2015,Fracking Liability,League of Conservation Voters,positive,died in committee,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=billpage&stab=01&id=sb0458&tab=subject3&ys=2015rs,Vrushank
SB 409,2015,Fracking Moratorium,"League of Conservation Voters, Sierra Club",positive,bill passed,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=billpage&stab=01&id=sb0409&tab=subject3&ys=2015rs,Vrushank
SB 398,2015,Community Solar Energy,Sierra Club,positive,passed (with or without amendments) and signed by governor,http://mgaleg.maryland.gov/webmga/frmMain.aspx?id=sb0398&stab=01&pid=billpage&tab=subject3&ys=2015rs,Vrushank
SB 258,2015,Maryland Commission on Climate Change,"League of Conservation Voters, Sierra Club",positive,vetoed by governor because duplicative of a bill in another chamber,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=billpage&stab=01&id=sb0258&tab=subject3&ys=2015rs,Vrushank
SB 257,2015,Agricultural Pollution,Sierra Club,positive,died in committee,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=billpage&stab=01&id=sb0257&tab=subject3&ys=2015rs,Vrushank
SB 200,2015,Microbeads,Sierra Club,positive,died on floor/before governor signature,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=billpage&stab=01&id=sb0200&tab=subject3&ys=2015rs,Vrushank
HB 860,2015,Invasive Species,Sierra Club,positive,passed (with or without amendments) and signed by governor,http://mgaleg.maryland.gov/webmga/frmMain.aspx?id=hb0860&stab=01&pid=billpage&tab=subject3&ys=2015rs,Vrushank
HB 597,2015,Artificial Turf,Sierra Club,negative,died in committee,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=billpage&stab=01&id=HB0597&tab=subject3&ys=2015rs,Vrushank
HB 514,2015,Maryland Commission on Climate Change,"League of Conservation Voters, Sierra Club",positive,passed (with or without amendments) and signed by governor,http://mgaleg.maryland.gov/webmga/frmMain.aspx?id=hb0514&stab=01&pid=billpage&tab=subject3&ys=2015rs,Vrushank
HB 483,2015,Motor Fuel Tax Rate,Sierra Club,negative,died in committee,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=billpage&stab=01&id=hb0483&tab=subject3&ys=2015rs,Vrushank
HB 449,2015,Fracking Moratorium,"League of Conservation Voters, Sierra Club",positive,bill passed,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=billpage&stab=01&id=hb0449&tab=subject3&ys=2015rs,Vrushank
HB 381,2015,Agricultural Pollution,Sierra Club,positive,died in committee,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=billpage&stab=01&id=HB0381&tab=subject3&ys=2015rs,Vrushank
HB 216,2015,Microbeads,Sierra Club,positive,passed (with or without amendments) and signed by governor,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=billpage&stab=01&id=hb0216&tab=subject3&ys=2015rs,Vrushank
HB 1087,2015,Community Solar Energy,Sierra Club,positive,passed (with or without amendments) and signed by governor,http://mgaleg.maryland.gov/webmga/frmMain.aspx?id=hb1087&stab=01&pid=billpage&tab=subject3&ys=2015rs,Vrushank
SB 786,2014,Community Renewable Energy,Sierra Club,positive,died in committee,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=billpage&stab=01&id=sb0786&tab=subject3&ys=2015rs,Vrushank
SB 745,2014,Complete Study of Fracking,Sierra Club,positive,died in committee,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=billpage&stab=01&id=sb0745&tab=subject3&ys=2015rs,Vrushank
SB 734,2014,Phase Out Dirty Energy Sources in RPS,Sierra Club,positive,died in committee,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=billpage&stab=01&id=sb0734&tab=subject3&ys=2015rs,Vrushank
SB 733,2014,Improving the Renewable Portfolio Standard,Sierra Club,positive,died in committee,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=billpage&stab=01&id=sb0733&tab=subject3&ys=2015rs,Vrushank
SB 700,2014,Pesticides,League of Conservation Voters,positive,died in committee,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=billpage&stab=01&id=sb0700&tab=subject3&ys=2015rs,Vrushank
SB 360,2014,Limit Effects of Fracking,Sierra Club,positive,passed (with or without amendments) and signed by governor,http://mgaleg.maryland.gov/webmga/frmMain.aspx?id=sb0360&stab=01&pid=billpage&tab=subject3&ys=2015rs,Vrushank
SB 336,2014,Wildlands,League of Conservation Voters,positive,died in committee,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=billpage&stab=01&id=sb0336&tab=subject3&ys=2015rs,Vrushank
HB 747,2014,Phase Out Dirty Energy Sources in RPS,Sierra Club,positive,died in committee,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=billpage&stab=01&id=hb0747&tab=subject3&ys=2015rs,Vrushank
HB 621,2014,Pesticides,League of Conservation Voters,positive,died in committee,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=billpage&stab=01&id=hb0621&tab=subject3&ys=2015rs,Vrushank
HB 296,2014,Wildlands,League of Conservation Voters,positive,passed (with or without amendments) and signed by governor,http://mgaleg.maryland.gov/webmga/frmMain.aspx?id=hb0296&stab=01&pid=billpage&tab=subject3&ys=2015rs,Vrushank
HB 292,2014,Limit Effects of Fracking,Sierra Club,positive,died in committee,http://mgaleg.maryland.gov/webmga/frmMain.aspx?id=hb0292&stab=01&pid=billpage&tab=subject3&ys=2015rs,Vrushank
HB 1192,2014,Community Renewable Energy,Sierra Club,positive,died in committee,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=billpage&stab=01&id=hb1192&tab=subject3&ys=2015rs,Vrushank
HB 1149,2014,Improving the Renewable Portfolio Standard,Sierra Club,positive,died in committee,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=billpage&stab=01&id=hb1149&tab=subject3&ys=2015rs,Vrushank
HB 1122,2014,Complete Study of Fracking,Sierra Club,positive,died in committee,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=billpage&stab=01&id=hb1122&tab=subject3&ys=2015rs,Vrushank
