bill_id,session,name,organization,designated_env_impact,outcome,link,researcher (internal)
B 22-0902,2017 - 2018,Sustainable Straws and Stirrers Amendment Act of 2018,,positive,died on floor/before governor signature,http://lims.dccouncil.us/Legislation/B22-0902,Yuqing
B 22-1014,2017 - 2018,Limitations on Products Containing Polycyclic Aromatic Hydrocarbons Amendment Act of 2018,,positive,bill passed,http://lims.dccouncil.us/Legislation/B22-1014,Yuqing
B 22-0904,2017 - 2018,CleanEnergy DC Omnibus Amendment Act of 2018,,positive,bill passed,http://lims.dccouncil.us/Legislation/B22-0904,Yuqing
B 22-0229,2017 - 2018,Solar Cooperative Association Expansion Amendment Act of 2017,,positive,bill passed,http://lims.dccouncil.us/Legislation/B22-0229,Yuqing
B 21-0369,2016 - 2017,Commission on Climate Change and Resiliency Establishment Act of 2015,,positive,bill passed,http://lims.dccouncil.us/Legislation/B21-0369,Yuqing
B 21-0836,2016 - 2017,"Food, Environmental, and Economic Development in the District of Columbia Amendment Act of 2016",,positive,bill passed,http://lims.dccouncil.us/Legislation/B21-0836,Yuqing
B 21-0330,2016 - 2017,Community Renewable Energy Emergency Amendment Act of 2015,,positive,died on floor/before governor signature,http://lims.dccouncil.us/Legislation/B21-0330,Yuqing
B 21-0412,2016 - 2017,Solar Energy Amendment Act of 2015,,positive,died on floor/before governor signature,http://lims.dccouncil.us/Legislation/B21-0412,Yuqing
B 20-0057,2015 - 2016,COMMUNITY RENEWABLE ENERGY ACT OF 2013,,positive,bill passed,http://lims.dccouncil.us/Legislation/PR20-0057,Yuqing
