bill_id,session,name,organization,designated_env_impact,outcome,link,researcher (internal),
HB 1239,2014,Solar Equipment Tax Exemption,League of Conservation Voters,positive,passed (with or without amendments) and signed by governor,http://lis.virginia.gov/cgi-bin/legp604.exe?ses=141&typ=bil&val=HB1239,Nina,
SB 498,2014,Renewable Portfolio Standard ,League of Conservation Voters,positive,passed (with or without amendments) and signed by governor,http://lis.virginia.gov/cgi-bin/legp604.exe?ses=141&typ=bil&val=SB498,Nina,
SB 966,2018,Grid Transformation and Security Act,Sierra Club,positive,died in committee,http://lis.virginia.gov/cgi-bin/legp604.exe?ses=181&typ=bil&val=SB966,Nina,
SJ 19,2018,Join Subcommittee on Coastal Flooding,Sierra Club,positive,bill passed,http://lis.virginia.gov/cgi-bin/legp604.exe?ses=181&typ=bil&val=SJ19,Nina,
SB 265,2018,Special Assistant to the governor on Coastal Adaptation and Protection,Sierra Club,positive,passed (with or without amendments) and signed by governor,http://lis.virginia.gov/cgi-bin/legp604.exe?ses=181&typ=bil&val=SB265,Nina,
SB 21,2016,Obstructing the Clean Power Plan,Sierra Club,negative,passed but vetoed by governor,http://lis.virginia.gov/cgi-bin/legp604.exe?ses=161&typ=bil&val=SB21,Nina,
SB 365,2016,Exempting Coalfields Expressway,Sierra Club,negative,died in committee,http://lis.virginia.gov/cgi-bin/legp604.exe?ses=161&typ=bil&val=sb365,Nina,
SB 395,2016,Advancing Energy Efficiency Measures,Sierra Club,positive,passed (with or without amendments) and signed by governor,http://lis.virginia.gov/cgi-bin/legp604.exe?ses=161&typ=bil&val=SB395,Sam,
SB 537,2016,Safe Coal Ash Pond Closure,Sierra Club,positive,died in committee,http://lis.virginia.gov/cgi-bin/legp604.exe?ses=161&typ=bil&val=SB537,Sam,
SB 571,2016,Virginia Coastal Protection Act,Sierra Club,positive,died in committee,http://lis.virginia.gov/cgi-bin/legp604.exe?ses=161&typ=bil&val=SB571,Sam,
SB 614,2016,Repealing Gas Companies' Right to Trespass,Sierra Club,positive,died on floor/before governor signature,http://lis.virginia.gov/cgi-bin/legp604.exe?ses=161&typ=bil&val=SB614,Sam,
SB 700,2016,Effect of Sea-Level Rise on Infrastructure,Sierra Club,positive,died on floor/before governor signature,http://lis.virginia.gov/cgi-bin/legp604.exe?ses=161&typ=bil&val=sb700,Sam,
SB 726,2016,Erosion and Sediment Control Plans,Sierra Club,positive,died in committee,http://lis.virginia.gov/cgi-bin/legp604.exe?ses=161&typ=bil&val=sb726,Sam,
SB 740,2015,Legislative Veto of Clean Power Plan,Sierra Club,negative,died on floor/before governor signature,http://lis.virginia.gov/cgi-bin/legp604.exe?151+sum+SB740,Sam,
SB 869,2015,Carbon Monoxide Emissions,Sierra Club,negative,passed (with or without amendments) and signed by governor,http://lis.virginia.gov/cgi-bin/legp604.exe?ses=151&typ=bil&val=sb869,Sam,
SB 1365,2015,Amendment to Legislative Veto of Clean Power Plan,Sierra Club,negative,died on floor/before governor signature,http://lis.virginia.gov/cgi-bin/legp604.exe?ses=151&typ=bil&val=SB1365,Sam,
SB 1099,2015,Virginia Solar Development Authority,Sierra Club,positive,passed (with or without amendments) and signed by governor,http://lis.virginia.gov/cgi-bin/legp604.exe?ses=151&typ=bil&val=sb1099,Sam,
HJ 608,2015,Opposition to Clean Power Plan,Sierra Club,negative,died in committee,http://lis.virginia.gov/cgi-bin/legp604.exe?ses=151&typ=bil&val=hj608,Sam,
